2022/12/23 13:36:02 [warn] 8#8: *6648 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/05/0000000053 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:38:24 [warn] 8#8: *6652 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/05/0000000054 while reading upstream, client: 172.20.4.174, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 13:48:53 [warn] 8#8: *6668 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/05/0000000055 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 14:32:01 [warn] 8#8: *6678 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/05/0000000056 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 14:32:33 [warn] 8#8: *6681 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/05/0000000057 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 14:33:23 [warn] 8#8: *6683 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/05/0000000058 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/23 14:34:58 [warn] 8#8: *6685 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/05/0000000059 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/26 04:27:39 [warn] 8#8: *6691 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/06/0000000060 while reading upstream, client: 172.20.4.172, server: , request: "GET /api/getAllSupplierSite HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/26 04:41:53 [warn] 8#8: *6695 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/06/0000000061 while reading upstream, client: 172.20.4.172, server: , request: "POST /api/getAllBranch HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/26 04:50:03 [warn] 8#8: *6701 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/06/0000000062 while reading upstream, client: 172.20.4.172, server: , request: "GET /api/getAllSupplierSite HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/26 06:12:08 [warn] 8#8: *6715 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/06/0000000063 while reading upstream, client: 172.20.4.172, server: , request: "POST /api/logout HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/26 10:19:50 [warn] 8#8: *7117 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/06/0000000064 while reading upstream, client: 172.20.4.172, server: , request: "GET /api/getAllSupplierSite HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2022/12/27 02:07:24 [warn] 8#8: *7430 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/06/0000000065 while reading upstream, client: 172.20.111.21, server: , request: "POST /api/updateUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 03:52:49 [warn] 8#8: *9426 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/06/0000000066 while reading upstream, client: 172.20.4.172, server: , request: "GET /api/getDataForInquiryUser HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 12:24:49 [warn] 8#8: *9517 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/06/0000000067 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveToTmpTtf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 12:34:39 [warn] 8#8: *9527 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/06/0000000068 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveToTmpTtf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 12:35:23 [warn] 8#8: *9529 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/06/0000000069 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveToTmpTtf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 12:44:36 [warn] 8#8: *9550 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/07/0000000070 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveToTmpTtf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 12:50:24 [warn] 8#8: *9558 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/07/0000000071 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveToTmpTtf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/06 13:28:42 [warn] 8#8: *9588 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/07/0000000072 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/getDataTtfTmpBYSessionId HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 15:42:35 [warn] 8#8: *9813 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/07/0000000073 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:08:18 [warn] 8#8: *9825 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/07/0000000074 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:08:54 [warn] 8#8: *9827 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/07/0000000075 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:09:17 [warn] 8#8: *9829 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/07/0000000076 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:10:42 [warn] 8#8: *9831 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/07/0000000077 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:11:18 [warn] 8#8: *9833 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/07/0000000078 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:11:21 [warn] 8#8: *9833 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/07/0000000079 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/09 16:11:32 [warn] 8#8: *9833 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/08/0000000080 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
2023/01/10 05:08:15 [warn] 8#8: *9922 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/08/0000000081 while reading upstream, client: 172.20.4.174, server: , request: "POST /api/saveTTf HTTP/1.1", upstream: "fastcgi://192.168.144.2:9000", host: "sd6webdev2.indomaret.lan:8001"
